DrugID	DrugName	SMILES
SmallMolecule_38	Alitretinoin	CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C(=O)O)\C)/C
SmallMolecule_39	Allisartan	CCCCc1nc(c(n1Cc2ccc(cc2)c3ccccc3c4[nH]nnn4)C(=O)OCOC(=O)OC(C)C)Cl
SmallMolecule_40	Almotriptan	CN(C)CCc1c[nH]c2c1cc(cc2)CS(=O)(=O)N3CCCC3
SmallMolecule_41	Alogliptin	Cn1c(=O)cc(n(c1=O)Cc2ccccc2C#N)N3CCC[C@H](C3)N.c1ccc(cc1)C(=O)O
SmallMolecule_42	Alosetron	Cc1c(nc[nH]1)CN2CCc3c(c4ccccc4n3C)C2=O
SmallMolecule_43	Alpelisib	Cc1c(sc(n1)NC(=O)N2CCC[C@H]2C(=O)N)c3ccnc(c3)C(C)(C)C(F)(F)F
SmallMolecule_44	Alprazolam	Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl
SmallMolecule_45	Alprostadil	CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O
SmallMolecule_46	Altretamine	CN(C)c1nc(nc(n1)N(C)C)N(C)C
SmallMolecule_47	Alvimopan	C[C@H]1CN(CC[C@@]1(C)c2cccc(c2)O)C[C@H](Cc3ccccc3)C(=O)NCC(=O)O
SmallMolecule_48	Amantadine	C1[C@@H]2C[C@]3(C[C@@H](C2)C[C@@H]1C3)N
SmallMolecule_49	Ambrisentan	Cc1cc(nc(n1)O[C@H](C(=O)O)C(c2ccccc2)(c3ccccc3)OC)C
SmallMolecule_50	Ambroxol	c1c(c(c(cc1Br)Br)N)CN[C@H]2CC[C@@H](CC2)O.Cl
SmallMolecule_51	Amenamevir	Cc1cccc(c1N(CC(=O)Nc2ccc(cc2)c3ncon3)C(=O)C4CCS(=O)(=O)CC4)C
SmallMolecule_52	Amfetamine	CC(Cc1ccccc1)N
SmallMolecule_53	Amglidia	COc1ccc(cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3)Cl
SmallMolecule_54	Amifampridine	c1cncc(c1N)N
SmallMolecule_55	Amifostine	C(CN)CNCCSP(=O)(O)O
SmallMolecule_56	Amikacin	C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N
SmallMolecule_57	Aminolevulinic	C(CC(=O)O)C(=O)CN
SmallMolecule_58	Amiodarone	CCCCc1c(c2ccccc2o1)C(=O)c3cc(c(c(c3)I)OCCN(CC)CC)I
SmallMolecule_59	Amisulpride	CCN1CCCC1CNC(=O)c2cc(c(cc2OC)N)S(=O)(=O)CC
SmallMolecule_60	Amlexanox	CC(C)c1ccc2c(c1)c(=O)c3cc(c(nc3o2)N)C(=O)O
SmallMolecule_61	Amlodipine	CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN
SmallMolecule_62	Ammonium	CC(C(=O)O)O.N
SmallMolecule_63	Amorolfine	CCC(C)(C)c1ccc(cc1)CC(C)CN2C[C@H](O[C@H](C2)C)C
SmallMolecule_64	Amosulalol	Cc1ccc(cc1S(=O)(=O)N)C(CNCCOc2ccccc2OC)O
SmallMolecule_65	Amoxicillin	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)C(=O)O)C
SmallMolecule_66	Amphotericin	C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
SmallMolecule_67	Ampiroxicam	CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)c2c1cccc2)C)C(=O)Nc3ccccn3
SmallMolecule_68	Amrinone	c1cnccc1c2cc(c(=O)[nH]c2)N
SmallMolecule_69	Amrubicin	CC(=O)[C@@]1(Cc2c(c(c3c(c2O)C(=O)c4ccccc4C3=O)O)[C@H](C1)O[C@H]5C[C@@H]([C@@H](CO5)O)O)N
SmallMolecule_70	Amtolmetin	Cc1ccc(cc1)C(=O)c2ccc(n2C)CC(=O)NCC(=O)Oc3ccccc3OC
SmallMolecule_71	Anagliptin	Cc1cc2ncc(cn2n1)C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N
SmallMolecule_72	Anagrelide	c1cc(c(c2c1N=C3NC(=O)CN3C2)Cl)Cl
SmallMolecule_73	Anamorelin	CC(C)(C(=O)N[C@H](Cc1c[nH]c2c1cccc2)C(=O)N3CCC[C@](C3)(Cc4ccccc4)C(=O)N(C)N(C)C)N
SmallMolecule_74	Anastrozole	CC(C)(C#N)c1cc(cc(c1)C(C)(C)C#N)Cn2cncn2
SmallMolecule_75	Anecortave	CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC=C3[C@H]2CCC4=CC(=O)CC[C@@]43C)C)O
SmallMolecule_76	Anidulafungin	CCCCCOc1ccc(cc1)c2ccc(cc2)c3ccc(cc3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](c7ccc(cc7)O)O)O)[C@@H](C)O)C)O)O)O
SmallMolecule_77	Aniracetam	COc1ccc(cc1)C(=O)N2CCCC2=O
SmallMolecule_78	Antofloxacin	C[C@H]1COc2c3n1cc(c(=O)c3c(c(c2N4CCN(CC4)C)F)N)C(=O)O.Cl
SmallMolecule_79	Antral	Cc1cccc(c1C)Nc2ccccc2C(=O)O[Al](OC(=O)c3ccccc3Nc4cccc(c4C)C)OC(=O)c5ccccc5Nc6cccc(c6C)C
SmallMolecule_80	Apalutamide	CNC(=O)c1ccc(cc1F)N2C(=S)N(C(=O)C23CCC3)c4cc(c(nc4)C#N)C(F)(F)F
SmallMolecule_81	Apixaban	COc1ccc(cc1)n2c3c(c(n2)C(=O)N)CCN(C3=O)c4ccc(cc4)N5CCCCC5=O
SmallMolecule_82	Apomorphine	CN1CCc2cccc-3c2[C@H]1Cc4c3c(c(cc4)O)O.O.Cl
SmallMolecule_83	Apremilast	CCOc1cc(ccc1OC)[C@@H](CS(=O)(=O)C)N2C(=O)c3cccc(c3C2=O)NC(=O)C
SmallMolecule_84	Aprepitant	C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)Cc3[nH]c(=O)[nH]n3)c4ccc(cc4)F
SmallMolecule_85	Apricitabine	c1cn(c(=O)nc1N)[C@H]2CO[C@H](S2)CO
SmallMolecule_86	Aranidipine	CC1=C(C(C(=C(N1)C)C(=O)OCC(=O)C)c2ccccc2[N+](=O)[O-])C(=O)OC
SmallMolecule_87	Arbekacin	C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)NC(=O)[C@H](CCN)O)N)N.OS(=O)(=O)O
SmallMolecule_88	Argatroban	C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3c2NCC(C3)C
SmallMolecule_89	Aripiprazole	CCCCCCCCCCCC(=O)OCN1c2cc(ccc2CCC1=O)OCCCCN3CCN(CC3)c4cccc(c4Cl)Cl
SmallMolecule_90	Arlipoic	C1CSS[C@@H]1CCCCC(=O)O
SmallMolecule_91	Armodafinil	c1ccc(cc1)C(c2ccccc2)[S@](=O)CC(=O)N
SmallMolecule_92	Artemotil	CCO[C@@H]1[C@@H]([C@@H]2CC[C@H]([C@H]3[C@]24[C@H](O1)O[C@](CC3)(OO4)C)C)C
SmallMolecule_93	Artesunate	C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC(=O)CCC(=O)O)C
SmallMolecule_94	Asciminib	c1cc(ccc1NC(=O)c2cc(c(nc2)N3CC[C@H](C3)O)c4ccn[nH]4)OC(F)(F)Cl
SmallMolecule_95	Asenapine	CN1C[C@@H]2c3ccccc3Oc4ccc(cc4[C@H]2C1)Cl
SmallMolecule_96	Asunaprevir	CC(C)(C)[C@@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C3CC3)Oc4c5cc(ccc5c(cn4)OC)Cl)NC(=O)OC(C)(C)C
SmallMolecule_97	Ataluren	c1ccc(c(c1)c2nc(no2)c3cccc(c3)C(=O)O)F
SmallMolecule_98	Atazanavir	CC(C)(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](CN(Cc2ccc(cc2)c3ccccn3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC
SmallMolecule_99	Atenolol	CC(C)NCC(COc1ccc(cc1)CC(=O)N)O
SmallMolecule_100	Atogepant	C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)c2cc3c(nc2)C[C@@]4(C3)c5cccnc5NC4=O)c6c(ccc(c6F)F)F
SmallMolecule_101	Atomoxetine	Cc1ccccc1O[C@H](CCNC)c2ccccc2
SmallMolecule_102	Atorvastatin	CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4
SmallMolecule_103	Atovaquone	c1cc2c(cc1)C(=O)C(=C(C2=O)[C@H]3CC[C@@H](CC3)c4ccc(cc4)Cl)O
SmallMolecule_104	Aumolertinib	CN(C)CCN(C)c1cc(c(cc1NC(=O)C=C)Nc2nccc(n2)c3cn(c4c3cccc4)C5CC5)OC
SmallMolecule_105	Avacopan	Cc1cccc(c1C(=O)N2CCC[C@@H]([C@@H]2c3ccc(cc3)NC4CCCC4)C(=O)Nc5ccc(c(c5)C(F)(F)F)C)F
SmallMolecule_106	Avanafil	COc1ccc(cc1Cl)CNc2c(cnc(n2)N3CCC[C@H]3CO)C(=O)NCc4ncccn4
SmallMolecule_107	Avapritinib	C[C@](c1ccc(cc1)F)(c2cnc(nc2)N3CCN(CC3)c4c5cc(cn5ncn4)c6cnn(c6)C)N
SmallMolecule_108	Avatrombopag	c1c(cnc(c1Cl)N2CCC(CC2)C(=O)O)C(=O)Nc3nc(c(s3)N4CCN(CC4)C5CCCCC5)c6cc(cs6)Cl
SmallMolecule_109	Axitinib	CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4
SmallMolecule_110	Azacitidine	c1nc(nc(=O)n1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N
SmallMolecule_111	Azasetron	CN1c2cc(cc(c2OCC1=O)C(=O)NC3CN4CCC3CC4)Cl
SmallMolecule_112	Azelaic	C(CCCC(=O)O)CCCC(=O)O
SmallMolecule_113	Azelastine	CN1CCCC(CC1)n2c(=O)c3ccccc3c(n2)Cc4ccc(cc4)Cl
SmallMolecule_114	Azelnidipine	CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(c3ccccc3)c4ccccc4)c5cccc(c5)[N+](=O)[O-])C(=O)OC(C)C
SmallMolecule_115	Azilsartan	CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]c(=O)on5)C(=O)O
SmallMolecule_116	Azithromycin	CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
SmallMolecule_117	Aztreonam	C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/c2csc(n2)N.C(CCN)C[C@@H](C(=O)O)N
SmallMolecule_118	Baclofen	c1cc(ccc1C(CC(=O)O)CN)Cl
SmallMolecule_119	Balofloxacin	CNC1CCCN(C1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)O)C4CC4)F
SmallMolecule_120	Baloxavir	COC(=O)OCOc1c(=O)ccn2c1C(=O)N3CCOC[C@H]3N2[C@@H]4c5ccccc5SCc6c4ccc(c6F)F
SmallMolecule_121	Balsalazide	c1cc(ccc1C(=O)NCCC(=O)O)/N=N/c2ccc(c(c2)C(=O)O)O
SmallMolecule_122	Bambuterol	CC(C)(C)NCC(c1cc(cc(c1)OC(=O)N(C)C)OC(=O)N(C)C)O
SmallMolecule_123	Baricitinib	CCS(=O)(=O)N1CC(C1)(CC#N)n2cc(cn2)c3c4cc[nH]c4ncn3
SmallMolecule_124	Barnidipine	CC1=C([C@@H](C(=C(N1)C)C(=O)O[C@H]2CCN(C2)Cc3ccccc3)c4cccc(c4)[N+](=O)[O-])C(=O)OC
SmallMolecule_125	Bazedoxifene	Cc1c2cc(ccc2n(c1c3ccc(cc3)O)Cc4ccc(cc4)OCCN5CCCCCC5)O
SmallMolecule_126	Beclomethasone	CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC
SmallMolecule_127	Bedaquiline	CN(C)CC[C@@](c1cccc2c1cccc2)([C@H](c3ccccc3)c4cc5cc(ccc5nc4OC)Br)O
SmallMolecule_128	Belinostat	c1ccc(cc1)NS(=O)(=O)c2cccc(c2)/C=C/C(=O)NO
SmallMolecule_129	Belotecan	CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5ccccc5c4CCNC(C)C)O
SmallMolecule_130	Belumosudil	CC(C)NC(=O)COc1cccc(c1)c2nc3ccccc3c(n2)Nc4ccc5c(c4)cn[nH]5.CS(=O)(=O)O
SmallMolecule_131	Belzutifan	CS(=O)(=O)c1ccc(c2c1[C@@H]([C@@H]([C@@H]2F)F)O)Oc3cc(cc(c3)F)C#N
SmallMolecule_132	Bempedoic	CC(C)(CCCCCC(CCCCCC(C)(C)C(=O)O)O)C(=O)O
SmallMolecule_133	Benazepril	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCc3ccccc3N(C2=O)CC(=O)O
SmallMolecule_134	Bencycloquidium	C[N@@+]12CC([C@@H](CC1)CC2)OCC(O)(C3CCCC3)c4ccccc4.[Br-]
SmallMolecule_135	Bendamustine	Cn1c2ccc(cc2nc1CCCC(=O)O)N(CCCl)CCCl
SmallMolecule_136	Benidipine	CC1=C([C@H](C(=C(N1)C)C(=O)O[C@@H]2CCCN(C2)Cc3ccccc3)c4cccc(c4)[N+](=O)[O-])C(=O)OC.Cl
SmallMolecule_137	Benznidazole	c1ccc(cc1)CNC(=O)Cn2ccnc2[N+](=O)[O-]
SmallMolecule_138	Benzoyl	c1ccc(cc1)C(=O)OOC(=O)c2ccccc2
SmallMolecule_139	Bepotastine	c1ccc(c(c1)C(=O)O)O.c1ccnc(c1)[C@H](c2ccc(cc2)Cl)OC3CCN(CC3)CCCC(=O)O
SmallMolecule_140	Beraprost	CC#CCC(C)[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1c3cccc(c3O2)CCCC(=O)[O-])O)O.[Na+]
SmallMolecule_141	Berotralstat	c1cc(cc(c1)n2c(cc(n2)C(F)(F)F)C(=O)Nc3cc(ccc3F)[C@@H](c4cccc(c4)C#N)NCC5CC5)CN.Cl.Cl
SmallMolecule_142	Besifloxacin	c1c2c(c(c(c1F)N3CCCC[C@H](C3)N)Cl)n(cc(c2=O)C(=O)O)C4CC4
SmallMolecule_143	Besifovir	CC(C)(C)C(=O)OCOP(=O)(COC1(CC1)Cn2cnc3c2nc(nc3)N)OCOC(=O)C(C)(C)C.C(=C\C(=O)O)\C(=O)O
SmallMolecule_144	Betaelemene	CC(=C)[C@@H]1CC[C@@]([C@@H](C1)C(=C)C)(C)C=C
SmallMolecule_145	Betaine	C[N+](C)(C)CC(=O)O.[Cl-]
SmallMolecule_146	Betamethasone	CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)OC(=O)CC
SmallMolecule_147	Betaxolol	CC(C)NCC(COc1ccc(cc1)CCOCC2CC2)O
SmallMolecule_148	Bexarotene	Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(CCC2(C)C)(C)C
SmallMolecule_149	Bezafibrate	CC(C)(C(=O)O)Oc1ccc(cc1)CCNC(=O)c2ccc(cc2)Cl
SmallMolecule_150	Biapenem	C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1SC3Cn4cnc[n+]4C3)C(=O)[O-])[C@@H](C)O
SmallMolecule_151	Bicalutamide	CC(CS(=O)(=O)c1ccc(cc1)F)(C(=O)Nc2ccc(c(c2)C(F)(F)F)C#N)O
SmallMolecule_152	Bicyclol	COc1cc(c(c2c1OCO2)c3c(cc(c4c3OCO4)OC)C(=O)OC)CO
SmallMolecule_153	Bilastine	CCOCCn1c2ccccc2nc1C3CCN(CC3)CCc4ccc(cc4)C(C)(C)C(=O)O
SmallMolecule_154	Bimatoprost	CCNC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCc2ccccc2)O)O)O
SmallMolecule_155	Binimetinib	Cn1cnc2c1cc(c(c2F)Nc3ccc(cc3F)Br)C(=O)NOCCO
SmallMolecule_156	Bisoprolol	CC(C)NCC(COc1ccc(cc1)COCCOC(C)C)O
SmallMolecule_157	Bitespiramycin	C[C@@H]1C/C=C/C=C/[C@@H]([C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)OC)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@]([C@@H]([C@H](O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O[C@H]4CC[C@@H]([C@@H](O4)C)N(C)C
SmallMolecule_158	Bixalomer	C1C(O1)CCl.C(CCN(CCCN)CCCN)CN(CCCN)CCCN
SmallMolecule_159	Blonanserin	CCN1CCN(CC1)c2cc(c3c(n2)CCCCCC3)c4ccc(cc4)F
SmallMolecule_160	Boceprevir	CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C
SmallMolecule_161	Borofalan	[10B](c1ccc(cc1)C[C@@H](C(=O)O)N)(O)O
SmallMolecule_162	Bortezomib	B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O
SmallMolecule_163	Bosentan	CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2c(c(nc(n2)c3ncccn3)OCCO)Oc4ccccc4OC
SmallMolecule_164	Bosutinib	CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC
SmallMolecule_165	Brexanolone	CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C
SmallMolecule_166	Brexpiprazole	c1cc(c2ccsc2c1)N3CCN(CC3)CCCCOc4ccc5ccc(=O)[nH]c5c4
SmallMolecule_167	Brigatinib	CN1CCN(CC1)C2CCN(CC2)c3ccc(c(c3)OC)Nc4ncc(c(n4)Nc5ccccc5P(=O)(C)C)Cl
SmallMolecule_168	Brimonidine	c1cc(c(c2c1nccn2)Br)NC3=NCCN3
SmallMolecule_169	Brinzolamide	CCN[C@H]1CN(S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)CCCOC
SmallMolecule_170	Brivaracetam	CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N
SmallMolecule_171	Bromazepam	c1ccnc(c1)C2=NCC(=O)Nc3c2cc(cc3)Br
SmallMolecule_172	Bromfenac	c1cc(c(c(c1)C(=O)c2ccc(cc2)Br)N)CC(=O)[O-].[Na+]
SmallMolecule_173	Bromocriptine	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O
SmallMolecule_174	Bronchitol	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
SmallMolecule_175	Bucladesine	CCCC(=O)Nc1c2c(ncn1)n(cn2)[C@H]3[C@@H]([C@H]4[C@H](O3)COP(=O)(O4)O)OC(=O)CCC
SmallMolecule_176	Budesonide	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C
SmallMolecule_177	Budipine	CC(C)(C)N1CCC(CC1)(c2ccccc2)c3ccccc3
SmallMolecule_178	Buflomedil	COc1cc(c(c(c1)OC)C(=O)CCCN2CCCC2)OC
SmallMolecule_179	Bunazosin	CCCC(=O)N1CCCN(CC1)c2nc3cc(c(cc3c(n2)N)OC)OC
SmallMolecule_180	Bupivacaine	CCCCN1CCCCC1C(=O)Nc2c(cccc2C)C
