smiles_list,Drug_ID,Drug Name
C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)c2cc3c(nc2)C[C@@]4(C3)c5cccnc5NC4=O)c6c(ccc(c6F)F)F,SmallMolecule_100,Atogepant
Cc1ccccc1O[C@H](CCNC)c2ccccc2,SmallMolecule_101,Atomoxetine
CC(C)c1c(c(c(n1CC[C@H](C[C@H](CC(=O)O)O)O)c2ccc(cc2)F)c3ccccc3)C(=O)Nc4ccccc4,SmallMolecule_102,Atorvastatin
c1cc2c(cc1)C(=O)C(=C(C2=O)[C@H]3CC[C@@H](CC3)c4ccc(cc4)Cl)O,SmallMolecule_103,Atovaquone
CN(C)CCN(C)c1cc(c(cc1NC(=O)C=C)Nc2nccc(n2)c3cn(c4c3cccc4)C5CC5)OC,SmallMolecule_104,Aumolertinib
Cc1cccc(c1C(=O)N2CCC[C@@H]([C@@H]2c3ccc(cc3)NC4CCCC4)C(=O)Nc5ccc(c(c5)C(F)(F)F)C)F,SmallMolecule_105,Avacopan
COc1ccc(cc1Cl)CNc2c(cnc(n2)N3CCC[C@H]3CO)C(=O)NCc4ncccn4,SmallMolecule_106,Avanafil
C[C@](c1ccc(cc1)F)(c2cnc(nc2)N3CCN(CC3)c4c5cc(cn5ncn4)c6cnn(c6)C)N,SmallMolecule_107,Avapritinib
c1c(cnc(c1Cl)N2CCC(CC2)C(=O)O)C(=O)Nc3nc(c(s3)N4CCN(CC4)C5CCCCC5)c6cc(cs6)Cl,SmallMolecule_108,Avatrombopag
CNC(=O)c1ccccc1Sc2ccc3c(c2)[nH]nc3/C=C/c4ccccn4,SmallMolecule_109,Axitinib
c1nc(nc(=O)n1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,SmallMolecule_110,Azacitidine
CN1c2cc(cc(c2OCC1=O)C(=O)NC3CN4CCC3CC4)Cl,SmallMolecule_111,Azasetron
CN1CCCC(CC1)n2c(=O)c3ccccc3c(n2)Cc4ccc(cc4)Cl,SmallMolecule_113,Azelastine
CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(c3ccccc3)c4ccccc4)c5cccc(c5)[N+](=O)[O-])C(=O)OC(C)C,SmallMolecule_114,Azelnidipine
CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]c(=O)on5)C(=O)O,SmallMolecule_115,Azilsartan
CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,SmallMolecule_116,Azithromycin
C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/c2csc(n2)N,SmallMolecule_117,Aztreonam
c1cc(ccc1C(CC(=O)O)CN)Cl,SmallMolecule_118,Baclofen
CNC1CCCN(C1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)O)C4CC4)F,SmallMolecule_119,Balofloxacin
COC(=O)OCOc1c(=O)ccn2c1C(=O)N3CCOC[C@H]3N2[C@@H]4c5ccccc5SCc6c4ccc(c6F)F,SmallMolecule_120,Baloxavir
c1cc(ccc1C(=O)NCCC(=O)O)/N=N/c2ccc(c(c2)C(=O)O)O,SmallMolecule_121,Balsalazide
CC(C)(C)NCC(c1cc(cc(c1)OC(=O)N(C)C)OC(=O)N(C)C)O,SmallMolecule_122,Bambuterol
CCS(=O)(=O)N1CC(C1)(CC#N)n2cc(cn2)c3c4cc[nH]c4ncn3,SmallMolecule_123,Baricitinib
CC1=C([C@@H](C(=C(N1)C)C(=O)O[C@H]2CCN(C2)Cc3ccccc3)c4cccc(c4)[N+](=O)[O-])C(=O)OC,SmallMolecule_124,Barnidipine
Cc1c2cc(ccc2n(c1c3ccc(cc3)O)Cc4ccc(cc4)OCCN5CCCCCC5)O,SmallMolecule_125,Bazedoxifene
CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC,SmallMolecule_126,Beclomethasone
CN(C)CC[C@@](c1cccc2c1cccc2)([C@H](c3ccccc3)c4cc5cc(ccc5nc4OC)Br)O,SmallMolecule_127,Bedaquiline
c1ccc(cc1)NS(=O)(=O)c2cccc(c2)/C=C/C(=O)NO,SmallMolecule_128,Belinostat
CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5ccccc5c4CCNC(C)C)O,SmallMolecule_129,Belotecan
CC(C)NC(=O)COc1cccc(c1)c2nc3ccccc3c(n2)Nc4ccc5c(c4)cn[nH]5,SmallMolecule_130,Belumosudil
CS(=O)(=O)c1ccc(c2c1[C@@H]([C@@H]([C@@H]2F)F)O)Oc3cc(cc(c3)F)C#N,SmallMolecule_131,Belzutifan
CC(C)(CCCCCC(CCCCCC(C)(C)C(=O)O)O)C(=O)O,SmallMolecule_132,Bempedoic
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCc3ccccc3N(C2=O)CC(=O)O,SmallMolecule_133,Benazepril
C[N@@+]12CC([C@@H](CC1)CC2)OCC(O)(C3CCCC3)c4ccccc4,SmallMolecule_134,Bencycloquidium
Cn1c2ccc(cc2nc1CCCC(=O)O)N(CCCl)CCCl,SmallMolecule_135,Bendamustine
CC1=C([C@H](C(=C(N1)C)C(=O)O[C@@H]2CCCN(C2)Cc3ccccc3)c4cccc(c4)[N+](=O)[O-])C(=O)OC,SmallMolecule_136,Benidipine
c1ccc(cc1)CNC(=O)Cn2ccnc2[N+](=O)[O-],SmallMolecule_137,Benznidazole
c1ccc(cc1)C(=O)OOC(=O)c2ccccc2,SmallMolecule_138,Benzoyl
CC#CCC(C)[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1c3cccc(c3O2)CCCC(=O)[O-])O)O,SmallMolecule_140,Beraprost
c1cc(cc(c1)n2c(cc(n2)C(F)(F)F)C(=O)Nc3cc(ccc3F)[C@@H](c4cccc(c4)C#N)NCC5CC5)CN,SmallMolecule_141,Berotralstat
c1c2c(c(c(c1F)N3CCCC[C@H](C3)N)Cl)n(cc(c2=O)C(=O)O)C4CC4,SmallMolecule_142,Besifloxacin
CC(C)(C)C(=O)OCOP(=O)(COC1(CC1)Cn2cnc3c2nc(nc3)N)OCOC(=O)C(C)(C)C,SmallMolecule_143,Besifovir
CC(=C)[C@@H]1CC[C@@]([C@@H](C1)C(=C)C)(C)C=C,SmallMolecule_144,Betaelemene
CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)OC(=O)CC,SmallMolecule_146,Betamethasone
CC(C)NCC(COc1ccc(cc1)CCOCC2CC2)O,SmallMolecule_147,Betaxolol
Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(CCC2(C)C)(C)C,SmallMolecule_148,Bexarotene
CC(C)(C(=O)O)Oc1ccc(cc1)CCNC(=O)c2ccc(cc2)Cl,SmallMolecule_149,Bezafibrate
C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1SC3Cn4cnc[n+]4C3)C(=O)[O-])[C@@H](C)O,SmallMolecule_150,Biapenem
CC(CS(=O)(=O)c1ccc(cc1)F)(C(=O)Nc2ccc(c(c2)C(F)(F)F)C#N)O,SmallMolecule_151,Bicalutamide
COc1cc(c(c2c1OCO2)c3c(cc(c4c3OCO4)OC)C(=O)OC)CO,SmallMolecule_152,Bicyclol
CCOCCn1c2ccccc2nc1C3CCN(CC3)CCc4ccc(cc4)C(C)(C)C(=O)O,SmallMolecule_153,Bilastine
CCNC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCc2ccccc2)O)O)O,SmallMolecule_154,Bimatoprost
Cn1cnc2c1cc(c(c2F)Nc3ccc(cc3F)Br)C(=O)NOCCO,SmallMolecule_155,Binimetinib
CC(C)NCC(COc1ccc(cc1)COCCOC(C)C)O,SmallMolecule_156,Bisoprolol
CCN1CCN(CC1)c2cc(c3c(n2)CCCCCC3)c4ccc(cc4)F,SmallMolecule_159,Blonanserin
CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,SmallMolecule_160,Boceprevir
[10B](c1ccc(cc1)C[C@@H](C(=O)O)N)(O)O,SmallMolecule_161,Borofalan
B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,SmallMolecule_162,Bortezomib
CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2c(c(nc(n2)c3ncccn3)OCCO)Oc4ccccc4OC,SmallMolecule_163,Bosentan
CN1CCN(CC1)CCCOc2cc3c(cc2OC)c(c(cn3)C#N)Nc4cc(c(cc4Cl)Cl)OC,SmallMolecule_164,Bosutinib
CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C,SmallMolecule_165,Brexanolone
c1cc(c2ccsc2c1)N3CCN(CC3)CCCCOc4ccc5ccc(=O)[nH]c5c4,SmallMolecule_166,Brexpiprazole
CN1CCN(CC1)C2CCN(CC2)c3ccc(c(c3)OC)Nc4ncc(c(n4)Nc5ccccc5P(=O)(C)C)Cl,SmallMolecule_167,Brigatinib
c1cc(c(c2c1nccn2)Br)NC3=NCCN3,SmallMolecule_168,Brimonidine
CCN[C@H]1CN(S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)CCCOC,SmallMolecule_169,Brinzolamide
CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N,SmallMolecule_170,Brivaracetam
c1ccnc(c1)C2=NCC(=O)Nc3c2cc(cc3)Br,SmallMolecule_171,Bromazepam
c1cc(c(c(c1)C(=O)c2ccc(cc2)Br)N)CC(=O)[O-],SmallMolecule_172,Bromfenac
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O,SmallMolecule_173,Bromocriptine
CCCC(=O)Nc1c2c(ncn1)n(cn2)[C@H]3[C@@H]([C@H]4[C@H](O3)COP(=O)(O4)O)OC(=O)CCC,SmallMolecule_175,Bucladesine
CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,SmallMolecule_176,Budesonide
CC(C)(C)N1CCC(CC1)(c2ccccc2)c3ccccc3,SmallMolecule_177,Budipine
COc1cc(c(c(c1)OC)C(=O)CCCN2CCCC2)OC,SmallMolecule_178,Buflomedil
CCCC(=O)N1CCCN(CC1)c2nc3cc(c(cc3c(n2)N)OC)OC,SmallMolecule_179,Bunazosin
CCCCN1CCCCC1C(=O)Nc2c(cccc2C)C,SmallMolecule_180,Bupivacaine
C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3Cc6c5c(c(cc6)O)O4)CC7CC7)OC)(C(C)(C)C)O,SmallMolecule_181,Buprenorphine
CC(C(=O)c1cccc(c1)Cl)NC(C)(C)C,SmallMolecule_182,Bupropion
c1cnc(nc1)N2CCN(CC2)CCCCN3C(=O)CC4(CCCC4)CC3=O,SmallMolecule_184,Buspirone
CS(=O)(=O)OCCCCOS(=O)(=O)C,SmallMolecule_185,Busulfex
CC(C)(C)c1ccc(cc1)CN(C)Cc2cccc3c2cccc3,SmallMolecule_186,Butenafine
c1cc2c(cc1O)[C@@]34CCCC[C@]3([C@@H](C2)N(CC4)CC5CCC5)O,SmallMolecule_187,Butorphanol
CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@@H]2c3cccc4c3c(c[nH]4)C[C@H]2N(C1)CC=C,SmallMolecule_190,Cabergoline
C[C@H]1CO[C@H]2N1C(=O)c3c(c(=O)c(cn3C2)C(=O)NCc4ccc(cc4F)F)[O-],SmallMolecule_191,Cabotegravir
COc1cc2c(ccnc2cc1OC)Oc3ccc(cc3)NC(=O)C4(CC4)C(=O)Nc5ccc(cc5)F,SmallMolecule_192,Cabozantinib
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,SmallMolecule_194,Calcifediol
C[C@H](/C=C/[C@H](C1CC1)O)[C@H]2CC[C@@H]\3[C@@]2(CCC/C3=C\C=C/4\C[C@H](C[C@@H](C4=C)O)O)C,SmallMolecule_195,Calcipotriol
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,SmallMolecule_196,Calcitriol
CC(CC(CC(CC(CC(C)C(=O)O)C(=O)O)CC(C(CC(CC(CC(C)C(=O)O)C(=O)O)CC(CC(C)C(=O)O)C(=O)O)O)O)C(=O)O)C(=O)O,SmallMolecule_197,Calcium
CN(C)C(=O)COC(=O)Cc1ccc(cc1)OC(=O)c2ccc(cc2)NC(=N)N,SmallMolecule_198,Camostat
Cc1ccc(cc1Cc2ccc(s2)c3ccc(cc3)F)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,SmallMolecule_199,Canagliflozin
CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O,SmallMolecule_200,Candesartan
CSCCNc1c2c(nc(n1)SCCC(F)(F)F)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O,SmallMolecule_201,Cangrelor
CCCCCc1cc(c(c(c1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,SmallMolecule_202,Cannabidiol
CCCCCOC(=O)Nc1c(cn(c(=O)n1)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O)F,SmallMolecule_203,Capecitabine
CNC(=O)c1ccc(cc1F)c2cnc3ncc(n3n2)Cc4ccc5c(c4)cccn5,SmallMolecule_204,Capmatinib
CC(C)/C=C/CCCCC(=O)NCc1ccc(c(c1)OC)O,SmallMolecule_205,Capsaicin
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,SmallMolecule_206,Captopril
c1ccc2c(c1)C=Cc3ccccc3N2C(=O)N,SmallMolecule_207,Carbamazepine
CN(C)CCOC(c1ccc(cc1)Cl)c2ccccn2,SmallMolecule_208,Carbinoxamine
C1CC2(C1)C(=O)O[Pt]OC2=O,SmallMolecule_210,Carboplatin
CN(C(=O)N[C@H]1CC[C@@H](CC1)CCN2CCN(CC2)c3c(c(ccc3)Cl)Cl)C,SmallMolecule_212,Cariprazine
CC(C)(C)NCC(COc1cccc2c1CCC(=O)N2)O,SmallMolecule_213,Carteolol
